jud,uat,ALTII_pct,CĂLIN GEORGESCU_pct,ELENA-VALERICA LASCONI_pct,GEORGE-NICOLAE SIMION_pct,HUNOR KELEMEN_pct,ION-MARCEL CIOLACU_pct,NICOLAE-IONEL CIUCĂ_pct,Prezenta,Castigator,Procent castigator,Lat,Long,Mediu
CARAȘ-SEVERIN,DOMAȘNEA,4.21,26.29,6.81,24.41,0.7,26.76,10.8,41.63,ION-MARCEL CIOLACU,26.76,45.08913865,22.3361074,RURAL
CARAȘ-SEVERIN,EFTIMIE MURGU,6.69,12.72,6.69,18.11,0.49,20.55,34.75,51.49,NICOLAE-IONEL CIUCĂ,34.75,44.84215448,22.13496462,RURAL
CARAȘ-SEVERIN,EZERIȘ,7.19,22.02,9.17,14.37,0.46,42.66,4.13,60.58,ION-MARCEL CIOLACU,42.66,45.39899942,21.90313247,RURAL
CARAȘ-SEVERIN,FOROTIC,9.74,26.17,9.39,13.72,0.9,19.31,20.76,42.9,CĂLIN GEORGESCU,26.17,45.22866747,21.56537823,RURAL
CARAȘ-SEVERIN,FÂRLIUG,5.37,26.88,9.01,18.55,0.27,27.28,12.63,52,ION-MARCEL CIOLACU,27.28,45.49893385,21.85735772,RURAL
CARAȘ-SEVERIN,GLIMBOCA,5.43,28.43,7.29,15.57,0.14,21.14,22,48.07,CĂLIN GEORGESCU,28.43,45.52274187,22.32273483,RURAL
CARAȘ-SEVERIN,GORUIA,8.97,24.51,7.28,16.5,0.97,36.89,4.85,63.62,ION-MARCEL CIOLACU,36.89,45.17894203,21.78327196,RURAL
CARAȘ-SEVERIN,GRĂDINARI,5.62,27.47,11.68,21.4,0.61,24.28,8.95,41.3,CĂLIN GEORGESCU,27.47,45.11087129,21.59135456,RURAL
CARAȘ-SEVERIN,GÂRNIC,5.87,13.26,13.48,12.61,1.74,24.35,28.7,43,NICOLAE-IONEL CIUCĂ,28.7,44.75811071,21.76682774,RURAL
CARAȘ-SEVERIN,IABLANIȚA,6.5,23.76,7.21,21.92,1.13,34.37,5.09,43.25,ION-MARCEL CIOLACU,34.37,44.93124373,22.27545857,RURAL
CARAȘ-SEVERIN,LUNCAVIȚA,5.76,25.82,13.22,17.42,0.62,30.33,6.84,35.65,ION-MARCEL CIOLACU,30.33,45.09772448,22.23437897,RURAL
CARAȘ-SEVERIN,LUPAC,13.69,22.41,12.33,13.98,1.5,28.42,7.67,31.39,ION-MARCEL CIOLACU,28.42,45.26300073,21.8140386,RURAL
CARAȘ-SEVERIN,LĂPUȘNICEL,3.75,16.21,11.47,21.2,0.5,35.91,10.97,57.83,ION-MARCEL CIOLACU,35.91,45.00493115,22.18087689,RURAL
CARAȘ-SEVERIN,LĂPUȘNICU MARE,6.56,14.86,5.75,14.22,0.32,44.25,14.06,50.9,ION-MARCEL CIOLACU,44.25,44.89844981,21.88077331,RURAL
CARAȘ-SEVERIN,MARGA,9.35,19.63,7.71,22.2,1.4,36.21,3.5,49.26,ION-MARCEL CIOLACU,36.21,45.49991854,22.51342822,RURAL
